0,1,2,3
300641.SZ,3.01,31.99,962136.0
300308.SZ,92.72000000000001,158.24,909918.0
300502.SZ,64.068,77.53399999999999,882005.0
000628.SZ,42.302,57.867999999999995,829093.0
300210.SZ,7.390000000000001,12.09,725510.0
301205.SZ,38.0,284.08,639808.0
300044.SZ,3.7600000000000002,5.62,608724.0
002229.SZ,6.56,45.29,588696.0
300570.SZ,32.21,41.080000000000005,577480.0
603083.SH,11.07,74.77,573300.0
300394.SZ,25.34,167.64,554970.0
002855.SZ,7.84,51.0,548132.0
603178.SH,8.7,55.5,533520.0
300114.SZ,10.26,62.95,511093.0
001337.SZ,21.558,41.13,481779.0
300781.SZ,27.926000000000002,49.178000000000004,481100.0
600605.SH,14.32,27.28,473029.0
430510.BJ,5.96,33.65,462423.0
603767.SH,12.91,16.09,459883.0
300045.SZ,18.446,36.35,456856.0
601138.SH,12.690000000000001,26.89,449371.0
300735.SZ,18.131999999999998,22.758,448435.0
300624.SZ,82.754,162.5,439273.0
301368.SZ,29.662,68.75,436300.0
300475.SZ,22.954,41.056000000000004,435422.0
002654.SZ,9.518,12.012,435232.0
601595.SH,22.042,28.028,427359.0
000766.SZ,4.58,24.05,424446.0
603918.SH,7.32,38.5,424048.0
300913.SZ,25.958000000000002,65.03,421548.0
002902.SZ,17.256,31.314,416879.0
603322.SH,22.524,41.466,416700.0
603220.SH,25.951999999999998,49.55,413085.0
301183.SZ,32.552,56.855999999999995,412080.0
300042.SZ,25.698,39.346000000000004,407407.0
300364.SZ,14.198,24.114,404296.0
300025.SZ,7.394,18.01,400870.0
300857.SZ,37.138,55.04599999999999,391756.0
603108.SH,13.328000000000001,19.724,387690.0
002313.SZ,6.524,9.752,387620.0
002281.SZ,21.156,37.434,379575.0
603629.SH,20.692,30.096,373832.0
603580.SH,6.9,32.0,361440.0
300418.SZ,35.138000000000005,66.26,359082.0
603533.SH,17.58,31.769999999999996,350964.0
603019.SH,29.61,52.02,350420.0
603721.SH,20.4,37.5,350030.0
300905.SZ,9.96,44.76,348000.0
300411.SZ,3.82,17.14,347652.0
002261.SZ,9.873999999999999,16.342,346944.0
300255.SZ,9.492,12.018,344331.0
603860.SH,26.538,38.861999999999995,343846.0
301070.SZ,25.736,49.52,342440.0
300107.SZ,3.14,13.9,342168.0
002882.SZ,13.27,20.799999999999997,339409.0
601858.SH,10.76,47.59,338836.0
300175.SZ,3.2,13.9,333840.0
002952.SZ,25.491999999999997,36.924,327217.0
300765.SZ,11.1,47.29,325710.0
603099.SH,20.23,37.0,322158.0
300576.SZ,33.07,45.61,321174.0
300537.SZ,13.846,16.652,318685.0
603863.SH,32.072,38.716,318506.0
000526.SZ,16.08,67.26,317316.0
300926.SZ,21.404,31.766,308037.0
601127.SH,25.2,103.7,306150.0
300972.SZ,11.4,46.43,304761.0
002085.SZ,4.55,18.38,302877.0
300503.SZ,10.788,16.144,300172.0
000752.SZ,5.532,12.94,300020.0
605011.SH,19.618,41.65,299854.0
600133.SH,7.106,11.954,299696.0
002708.SZ,7.958,10.466000000000001,299491.0
603496.SH,19.752,43.6,299302.0
603729.SH,19.696,26.242000000000004,299115.0
300342.SZ,10.896,23.0,298406.0
603266.SH,12.04,47.95,298053.0
603598.SH,12.532,20.096,296973.0
300678.SZ,25.735999999999997,62.48,296556.0
603929.SH,16.65,32.45,295330.0
300476.SZ,16.49,27.229999999999997,293024.0
300315.SZ,5.1259999999999994,6.084,292285.0
603038.SH,9.52,14.260000000000002,292031.0
300606.SZ,17.464,23.148,291948.0
002962.SZ,12.256,15.442,291308.0
600178.SH,8.5,13.900000000000002,290629.0
603196.SH,7.18,28.0,289398.0
600066.SH,7.5,29.25,289275.0
603283.SH,66.03999999999999,78.02000000000001,287042.0
601900.SH,12.233999999999998,29.13,286543.0
002786.SZ,8.312000000000001,14.296,284830.0
300389.SZ,11.234,18.746000000000002,283845.0
000719.SZ,10.932,13.864,282956.0
300654.SZ,9.184000000000001,13.992,282525.0
300552.SZ,18.908,24.156,281264.0
300563.SZ,8.3,31.7,280800.0
002211.SZ,2.85,4.35,280604.0
430718.BJ,9.952,11.576,278695.0
603009.SH,8.592,13.796,277645.0
002605.SZ,20.704,47.8,277605.0
600678.SH,5.2,8.2,276998.0
600589.SH,1.65,6.22,276942.0
603006.SH,9.384,16.956,274353.0
603960.SH,11.6,43.48,274168.0
300757.SZ,42.14,160.93,273217.0
002835.SZ,15.84,18.58,272638.0
002395.SZ,11.074,22.89,271491.0
300788.SZ,25.376,30.722,270254.0
301085.SZ,40.896,93.0,269704.0
300975.SZ,7.1240000000000006,9.048,265992.0
300192.SZ,8.634,11.088,265675.0
300293.SZ,11.29,22.45,263900.0
002455.SZ,3.73,13.48,261300.0
688017.SH,108.8,138.4,260597.0
603153.SH,16.548,22.124,259829.0
605588.SH,38.36,48.07,259282.0
300002.SZ,4.33,15.52,257370.0
600630.SH,4.89,17.5,257244.0
300290.SZ,8.26,9.81,256732.0
003015.SZ,10.46,12.34,256425.0
000977.SZ,29.784,62.6,256116.0
002771.SZ,16.630000000000003,37.63,255532.0
430198.BJ,3.79,13.49,255110.0
300709.SZ,23.520000000000003,33.18,254640.0
605180.SH,7.0,24.93,254606.0
301004.SZ,26.69,94.99,252710.0
300844.SZ,24.4,60.0,252532.0
430564.BJ,5.22,18.4,251738.0
300814.SZ,28.02,38.34,251680.0
000017.SZ,3.98,13.98,251000.0
300492.SZ,98.114,113.77,249520.0
603516.SH,12.18,42.55,249034.0
603131.SH,13.152,14.877999999999998,248807.0
603499.SH,18.316,25.5,248788.0
001309.SZ,70.608,87.716,247491.0
600839.SH,4.336,6.032,247352.0
300843.SZ,11.04,38.52,247320.0
600602.SH,13.556000000000001,15.408000000000001,247299.0
300545.SZ,23.448,27.192,245950.0
603662.SH,25.892,35.304,245791.0
002792.SZ,14.634,16.856,245364.0
605118.SH,15.076,21.067999999999998,244635.0
002892.SZ,11.516,13.692,243962.0
603660.SH,6.029999999999999,8.89,243094.0
300956.SZ,7.35,25.2,242760.0
000988.SZ,27.933999999999997,33.686,241249.0
301128.SZ,31.176,60.0,241215.0
601949.SH,4.79,16.3,239408.0
600895.SH,14.882000000000001,28.89,238787.0
000656.SZ,0.77,2.6,237534.0
002463.SZ,20.808,25.272000000000002,237249.0
001339.SZ,25.22,30.04,236850.0
300429.SZ,8.758,17.59,236178.0
000737.SZ,4.02,13.53,235848.0
301041.SZ,19.464,25.948,234823.0
300053.SZ,10.928,12.902000000000001,234635.0
600088.SH,9.1,30.58,234132.0
002827.SZ,12.562000000000001,18.906,234101.0
300949.SZ,36.292,48.583999999999996,233951.0
603536.SH,6.03,20.2,233805.0
301398.SZ,38.936,60.227999999999994,233530.0
603291.SH,12.677999999999999,21.15,233309.0
300620.SZ,38.896,63.124,233180.0
002456.SZ,7.368,10.216000000000001,232674.0
600661.SH,9.288,12.516,232442.0
600560.SH,13.396,17.052,232320.0
000099.SZ,7.13,23.69,231840.0
600250.SH,7.354,15.97,231418.0
600186.SH,3.6159999999999997,7.84,231334.0
300580.SZ,22.066,26.131999999999998,231069.0
002927.SZ,12.236,16.592,229289.0
002222.SZ,23.73,31.65,228810.0
300657.SZ,16.614,19.506,226421.0
300302.SZ,11.058,13.152000000000001,226004.0
301308.SZ,71.648,95.824,225507.0
600520.SH,12.4,40.5,224800.0
000158.SZ,6.69,8.85,224479.0
002315.SZ,23.536,46.04,224218.0
300322.SZ,7.836,12.108,223668.0
300836.SZ,13.21,43.0,223425.0
300669.SZ,9.872,15.308,223420.0
002400.SZ,4.876,6.128,221711.0
002173.SZ,7.7059999999999995,9.062000000000001,221577.0
301191.SZ,74.42999999999999,120.14999999999999,221109.0
300484.SZ,6.5,20.93,220779.0
605577.SH,9.98,32.0,220200.0
603097.SH,18.848,25.844,220046.0
301318.SZ,17.44,52.288,219792.0
430418.BJ,20.148000000000003,23.724000000000004,219025.0
301052.SZ,22.04,70.56,218340.0
000536.SZ,1.73,5.5,217906.0
002292.SZ,9.196,10.698,216243.0
300719.SZ,7.94,25.2,215750.0
300213.SZ,6.24,7.13,215710.0
300548.SZ,27.183999999999997,32.326,215594.0
300466.SZ,5.76,8.24,215502.0
300540.SZ,17.688,26.351999999999997,214891.0
300313.SZ,4.64,14.63,214785.0
002971.SZ,22.688,25.082,214243.0
300688.SZ,21.918,43.19,212460.0
300637.SZ,7.848000000000001,12.57,210515.0
300880.SZ,14.943999999999999,32.8,210459.0
300133.SZ,5.236000000000001,9.034,209799.0
603958.SH,5.87,18.2,209610.0
301297.SZ,19.288,23.726,209192.0
002521.SZ,5.05,15.6,208890.0
002401.SZ,14.96,31.2,208094.0
301218.SZ,18.99,59.0,208052.0
603390.SH,7.418,15.17,207932.0
603728.SH,41.222,61.605999999999995,207810.0
300254.SZ,6.604,10.546,207756.0
002130.SZ,5.03,15.5,207306.0
002725.SZ,9.242,10.828,206950.0
601567.SH,11.9,36.5,206640.0
300135.SZ,2.506,5.89,205890.0
603900.SH,3.57,10.92,205800.0
603037.SH,15.464,24.956000000000003,205570.0
301083.SZ,13.248000000000001,30.0,205540.0
300169.SZ,3.73,11.38,205020.0
001226.SZ,30.660000000000004,37.02,204538.0
002156.SZ,18.692,23.096,204094.0
603773.SH,21.942,34.367999999999995,203520.0
601020.SH,6.2,18.78,202538.0
600449.SH,15.620000000000001,17.59,202521.0
600686.SH,7.859999999999999,8.78,202229.0
301012.SZ,10.64,30.356,202182.0
300067.SZ,1.93,5.83,202020.0
300780.SZ,15.472,20.604,201399.0
000921.SZ,14.17,42.9,201110.0
301091.SZ,15.51,46.9,200896.0
002755.SZ,8.068,11.032,200808.0
601059.SH,15.16,20.42,199260.0
002823.SZ,9.572,10.878,198505.0
002992.SZ,41.69,85.65,198094.0
603000.SH,20.576,30.608,198091.0
301106.SZ,32.756,36.704,198069.0
002970.SZ,23.483999999999998,36.006,197576.0
300991.SZ,13.884,16.426000000000002,197477.0
605289.SH,28.32,57.4,197316.0
603556.SH,17.78,53.0,197232.0
300459.SZ,3.08,9.15,196668.0
000037.SZ,8.05,12.219999999999999,196558.0
300711.SZ,7.96,23.68,196500.0
003007.SZ,26.928,30.695999999999998,196294.0
002238.SZ,5.98,17.71,195891.0
300758.SZ,5.67,16.73,194656.0
000936.SZ,6.904,14.2,193440.0
603725.SH,7.528,13.6,192109.0
001696.SZ,4.56,13.31,191625.0
601019.SH,8.92,12.91,191403.0
600415.SH,8.218,9.324,191365.0
300280.SZ,33.748,42.872,191072.0
000521.SZ,4.21,12.26,190785.0
002888.SZ,14.42,17.990000000000002,190454.0
600825.SH,4.764,5.2860000000000005,190444.0
002290.SZ,8.804,13.676,190267.0
300514.SZ,12.808,16.116,189462.0
002796.SZ,5.8,16.81,189372.0
603657.SH,8.23,23.85,189002.0
600301.SH,16.736,19.317999999999998,188687.0
600818.SH,7.61,21.926000000000002,188509.0
002270.SZ,7.69,22.18,188370.0
002590.SZ,9.952,14.076,188276.0
301049.SZ,10.2,26.84,188160.0
600719.SH,7.364,8.836,187666.0
000409.SZ,8.062000000000001,10.014,187149.0
430090.BJ,2.24,6.43,186874.0
300419.SZ,2.92,8.37,186390.0
603530.SH,16.184,25.076,186064.0
002988.SZ,13.36,38.48,185888.0
300538.SZ,12.706,23.93,185598.0
002893.SZ,9.128,16.72,185592.0
603615.SH,7.43,21.28,185590.0
300499.SZ,10.98,24.9,184819.0
002553.SZ,9.808,14.924,184579.0
300812.SZ,22.432000000000002,27.694,184323.0
002351.SZ,11.692,22.66,183201.0
600280.SH,3.058,5.032,182988.0
300779.SZ,38.454,57.001999999999995,182854.0
600165.SH,1.42,3.872,181632.0
300947.SZ,14.038,16.682,181317.0
301236.SZ,19.6,55.06,180846.0
002536.SZ,9.494,17.59,180616.0
600246.SH,5.132,6.816,180581.0
002777.SZ,26.978,39.106,180438.0
600889.SH,2.97,8.34,180432.0
300474.SZ,62.64,138.0,180254.0
603933.SH,11.568,25.8,179980.0
002517.SZ,6.61,18.51,179690.0
002875.SZ,7.62,19.848,178684.0
600257.SH,5.322,7.885999999999999,178474.0
603888.SH,26.496000000000002,35.692,178369.0
600331.SH,2.8,7.79,178143.0
601360.SH,8.99,19.71,177000.0
430425.BJ,10.97,30.4,176813.0
300139.SZ,5.91,16.37,176774.0
300430.SZ,15.087999999999997,17.244,176768.0
300229.SZ,14.708000000000002,33.34,176604.0
600579.SH,5.818,8.962,175410.0
002584.SZ,5.02,13.83,175319.0
430300.BJ,5.85,16.15,175100.0
002076.SZ,1.16,3.19,174986.0
603779.SH,9.208,12.336,174913.0
300058.SZ,5.02,13.79,174523.0
600679.SH,9.128,10.446,174407.0
300339.SZ,22.57,25.01,173877.0
002021.SZ,1.798,3.35,173331.0
605198.SH,16.72,46.07,173165.0
300243.SZ,5.46,14.9,172752.0
300375.SZ,3.84,5.32,172709.0
002558.SZ,8.02,21.87,171740.0
301188.SZ,15.066,18.362000000000002,171611.0
300444.SZ,5.128,8.44,171504.0
603261.SH,17.4,47.45,171285.0
300690.SZ,10.69,29.1,171213.0
300556.SZ,19.264,27.991999999999997,171206.0
002215.SZ,6.186,8.934,170413.0
600355.SH,3.104,7.0,170340.0
600552.SH,9.636000000000001,12.834,169894.0
300697.SZ,10.274000000000001,11.826,169396.0
000020.SZ,11.118,15.514,169347.0
300321.SZ,9.24,24.81,168156.0
